name,city,keywords,description,location,transport,contact,since,timeFromChatelet
LE GENERATEUR,Gentilly,Spectacle Vivant,"galerie, espace de spectacle","16, rue Charles Frérot<br/>94250 Gentilly","Tram 3 : Poterne des Peupliers<br/>M° Place d’Italie + Bus 57 arrêt Verdun – Victor Hugo<br/>RER B : Gentilly (ou RER B : Cité U + Tram 3 : Poterne des Peupliers)<br/>Vélib’ (n° 13111, n° 42505)","01 49 86 99 14<br/>contact@legenerateur.com www.legenerateur.com",2006,29mins
MAISON DE LA PHOTOGRAPHIE,Gentilly,Arts Visuels,Centre Culturel et Photographique,"1, rue de la division du Général Leclerc 94250 Gentilly","RER B : Gentilly /<br/>Bus n° 57, n° 125, n° 184,<br/>Bus gratuits de la Communauté d'agglomération de Val de Bièvre.",http://www.maisondelaphotographie-robertdoisneau.fr/ tél : 01 55 01 04 86 - fax : 01 47 40 82 06 - maisondelaphotographie@agglo-valdebievre.fr,n/a,22mins
BIENNALE D'ISSY,Issy les Moulineaux,Arts Visuels,Biennale,"33 rue du Gouverneur Général Eboué <br/>92130 Issy-les-Moulineaux ET16 rue Auguste Gervais 92130 Issy-les-Moulineaux","Métro 12 : Mairie d’Issy<br/>Bus : 123, 126, 169, 189, 190, 289, 290, 323, Tuvim<br/>Tram T2 : Val-de-Seine;| RER C : Val-de-Seine",http://www.biennaledissy.com/ ET http://issy.com/biennale2013,2003,28mins
ESPACE ICARE,Issy les Moulineaux,Education,Lieu culturel,"31, Boulevard Gambetta 92130 Issy les Moulineaux","Métro 12 : Corentin Celton (à 10min de montparnasse); bus 126, 189, 394",infos@espace-icare.com/ Tél : 01 40 93 44 50 - Fax : 01 40 93 46 07 www.espace-icare.net,n/a,26mins
L'ENTREPONT,Issy Les Moulineaux,"Musique, Spectacle Vivant","l’Entrepont permet de développer tout type de projet artistique relatif à la musique, au théâtre, à la danse, à la littérature, au multimédia.","24, chemin de l’Accès à la Gare",RER C : Issy ou Métro 12 : Mairie de Issy,"01 41 46 17 20<br/>E-mail : entrepont@ville-issy.fr<br/>www.facebook.com/entrepont",N/A,30mins
L'ILE,Issy les Moulineaux,Fooding,French cuisine with 100% preparations made on site with a traditional and modern mix.,"170, quai de Stalingrad - Parc de l'Île Saint-Germain - Issy-les-Moulineaux","RER C : Issy Val de Seine<br/>Tram T2 : Issy Val de Seine<br/>Bus 126 et 189 : Parc de l’Ile St Germain",http://www.restaurant-lile.com/ 01 41 09 99 99,1998,45mins
LE CUBE,Issy les Moulineaux,Arts Visuels,"A centre for creation entirely dedicated to digital technology,","20, Cours Saint Vincent 92130 Issy-les-Moulineaux","Tram T2 : Les Moulineaux (sortie 2)<br/>RER C : Issy (sortie ""Allée des Carrières), puis à gauche dans l'avenue de Verdun jusqu'au Cours Saint-Vincent<br/>Vélib’ : Stations n° 21301 et n° 21302",01 58 88 3000 http://www.lecube.com/,2001,39mins
LES ARCHES,Issy les Moulineaux,"Arts Visuels, Education",Les Arches est une association de 30 artistes professionnels,"Boulevard Garibaldi<br/>92130 Issy-les-Moulineaux","RER C : Issy<br/>Tram T2 : JH Lartigue<br/>Métro 12 : Mairie d'Issy<br/>Bus 123 : Gare d'Issy<br/>Vélib : Gare d'Issy",33 (0)1 41 08 75 08 http://www.lesarches.com/,,35mins
RIVER CAFE,Issy les Moulineaux,Fooding,French cuisine with 100% preparations made on site with a traditional and modern mix.,"146, quai de la bataille de Stalingrad - Issy-les-Moulineaux",RER C : Issy-Val de Seine; Tram T2,www.rivercafe.fr contact@rivercafe.fr 01 41 46 19 45,1990,41mins
SCULPTEO,Issy Les Moulineaux,Innovation,We do 3D printing for both individuals and professionals. We develop easy-to-integrate solutions for online retailers wanting to integrate 3D printing and mass customization to their offer.,"89 rue Gouverneur Eboué<br/>92130 Issy-les-Moulineaux - France",Métro 12 : Mairie d'Issy,http://www.sculpteo.com/ +33 1 83 64 11 22,2009,41mins
GALERIE A2Z,Ivry-sur-Seine,Arts Visuels,galerie d'art contemporain spécialisée dans la création contemporaine chinoise. Participe à la foire Art Paris,"28 bis, rue barbès<br/>94200 Ivry-sur-Seine, FRANCE",Métro 7 : Porte d’Ivry ou Pierre Marie Curie / Bus 125 : Jules Ferry / Parking,http://www.a2z-art.com 09 54 03 08 02 Info@a2z-art.com,,28mins
COLLECTIF LA BLANCHISSERIE,Ivry-sur-Seine,"Spectacle Vivant, Arts Visuels",Collectif et espaces dédiés à la création pluridisciplinaire,4/16 impasse Prudhon 94200 Ivry-sur-Seine,"Métro 8 : Liberté + Bus 180 : Maurice Gunsbourg /<br/>Métro 7 : Mairie d’Ivry / RER C : Ivry-sur-Seine + bus 125 ou 323 : Place Gambetta",01 46 70 97 88 ou 09 71 53 21 10 http://www.collectiflablanchisserie.org/ lablanchisserie@gmail.com,1990,35mins
CREDAC,Ivry-sur-Seine,Arts Visuels,"Centre d’art contemporain d'Ivry, jouxtant la Manufacture des Oeuillets.  Commissariat d'exposition exigeant.","29 Rue Raspail, 94200 Ivry-sur-Seine",,"33 (0)1 49 60 25 06<br/>contact@credac.fr http://www.credac.fr/",,33mins
LUXY CINEMA,Ivry-sur-Seine,Cinema,cinema,77 Avenue Georges Gosnat,"Métro 7 : Mairie d'Ivry<br/>RER C : Ivry<br/>(trains Romi ou Mona)",http://luxy.ivry94.fr/contacts/ 01 72 04 64 60 leluxy@ivry94.fr,,25mins
CENTRE ARTISTIQUE EL DUENDE,Ivry-sur-Seine,"Spectacle Vivant, Arts Visuels","Théatre expérimental, rencontres citoyennes, programmation très diverse.","23 Rue Hoche, 94200 Ivry-sur-Seine",Métro 7 - Mairie d'Ivry,01 46 71 52 29 theatre-elduende.com / lesateliersduduende@gmail.com,,
GALERIE RX,Ivry-sur-Seine,Arts Visuels,Lieu d'exposition et de résidence artistique,,,,,
ECOLE PHILIPPE GAULIER,Janville-sur-Juine,"Education, Spectacle Vivant","Ecole internationale du Clown fondée par Philippe Gaulier (mondialement connu pour avoir cassé des milliers d'assiettes), centrée sur le pouvoir libérateur du ""jeu"".","7 rue de Bouray<br/>.Janville-sur-Juine 91510 France",RER C : Landy,33 (0)1 60 82 19 83/33 (0)9  52 11 16 04 Philgaulier@aol.com michikogaulier@gmail.com,1980,1hr23mins
MANDO PRODUCTIONS,Joinville-le-Pont,Innovation,Studio de jeux vidéo,"1, quai Gabriel Péri<br/>ZAC des studios - Bâtiment E<br/>94340 Joinville le Pont",RER A : Joinville le pont,"info@mandoproductions.com<br/>http://www.mandoproductions.com",2010,39mins
ECOLE ET ESPACE D'ART CONTEMPORAIN CAMILLE LAMBERT,Juissy-sur-Orge,"Education, Arts Visuels",d’enseignement artistique et un lieu d’exposition dédié à l’art contemporain.,"35 Avenue de la Terrasse, 91260 Juvisy-sur-Orge",,"01 69 57 82 50<br/>eart.lambert@portesessonne.fr http://www.portesessonne.fr/Sortir-et-decouvrir/Ecole-et-Espace-d-art-contemporain-Camille-Lambert",,41mins
STARTUP 42,Kremlin Bicetre,Innovation,"StartUp42 est un accélérateur de startups tech, gratuit et sans prise de participations.","14 Rue Voltaire, 94276 Kremlin Bicêtre",Metro 7 ou Tram : Porte d'Italie,http://startup42.org/the-accelerator-2/,,25mins
DEUX PIECES CUISINE,La Blanc Mesnil,"Spectacle Vivant, Musique",A space which promotes unique musical programming. Also offers rehearsal space for musicians.,"42, Avenue Paul Vaillant-Couturier, 93150, Le Blanc-Mesnil",RER B : Blanc Mesnil,http://www.deuxpiecescuisine.net/,1994,36mins
LE FORUM,La Blanc Mesnil,"Spectacle Vivant, Musique, Arts Visuels",centre d'art,"1-5, place de la Libération<br/>93150 Blanc-Mesnil","RER B : Drancy <br/>puis bus 148 ou 346 - Arrêt Libération",01 48 14 22 00 http://www.leforumbm.fr/,,52mins
CENTRE CULTUREL JEAN HOUDREMONT,La Courneuve,"Musique, Spectacle Vivant","Le centre culturel élabore chaque saison une programmation pluridisciplinaire, avec une attention particulière pour le jeune public.","11 avenue du Général-Leclerc, 93120 La Courneuve.","RER B : Courneuve-Aubervilliers line 7 arrêt La Courneuve-8 mai 1945, puis Tramway T1 direction Saint-Denis arrêt 6 Routes",,,32mins
FÊTE DE L’HUMANITÉ,La Courneuve,Festival,A music festival organised by L'humanité the newspaper and has been going on since 1930.,"Parc de la Courneuve-55 bis avenue Waldeck Rochet <br/>93 120 La Courneuve","Metro 7 :Aubervillers Pantin - 4 chemins, puis bus 249 direction Dugny arrêt ""Place 16 aout 1943"".",fete.humanite.fr 01 49 22 66 59,1930,1h04mins
ART O CLOCK,La Defense,Arts Visuels,Paris International Art Fair,"Centre of New Industries and Technologies;2 Place de la Défense, 92053 La Défense",Métro 1 : Esplanade de La Défense ou RER A : Grande Arche ,http://www.art-oclock.com/         contact@art-oclock.com,2012,30mins
CNAP (CENTRE NATIONAL DES ART PLASTIQUES),La Defense,Arts Visuels,"Il encourage et soutient la création en France dans tous les domaines des arts visuels... établissement du ministère de la Culture et de la Communication, Le CNAP soutient la recherche et l’innovation artistiques","1 place de la Pyramide<br/>92911 Paris-La Défense<br/>France",RER A-La Defense (Grande Arche),http://www.cnap.fr 0)1 46 93 99 50,1982,26MINS
LA DÉFENSE JAZZ FESTIVAL,La Defense,Musique,a musical festival showcasing world talent and providing free shows,Parvis de la Défense,"Métro ligne 1, station La Défense – Grande Arche<br/>RER ligne A, station La Défense – Grande Arche","01 47 29 30 48<br/>ladefensejazz@cg92.fr http://ladefensejazzfestival.hauts-de-seine.net/",1977,26mins
ESPACE CHARLES VANEL,Lagny-Sur-Marne,"Spectacle Vivant, Musique",Centre Culturel,"22, Boulevard Du Maréchal Gallieni, Lagny Sur Marne 77400","depuis Chatelet<br/>direction Porte de Clignancourt<br/>jusqu’à Gare de l'Est (Verdun) depuis Gare de l'Est<br/>direction Meaux<br/>jusqu’à Lagny-Thorigny depuis Lagny Sncf<br/>direction Bussy RER<br/>jusqu’à Foch",espace-charles-vanel@lagny-sur-marne.fr 01 64 12 47 50,,51 min
LARRY GAGOSIAN,Le Bourget,Arts Visuels,"galerie d'art contemporain d'envergure internationale (New York, Londres, Athène, etc.)",800 avenue de l'europe 93350 le bourget,"No 152 from Porte de la Villette No 350 from Gare de l’Est or Gare du Nord RER B—exit at Le Bourget<br/>Take bus no 152 from Jean Jaurès Division Leclerc",01.48.16.16.47 www.gagosian.com p,2012,27mins + bus ride
WEATHER FESTIVAL,"Le Bourget, Bobigny, Montreuil, Paris",Spectacle Vivant,techno-house festival,n/A,various locations,info@weatherfestival.fr,N/A,
ESPACE CULTUREL ANDRÉ MALRAUX,Le Kremlin-Bicêtre,Spectacle Vivant,festival du musique; Festival Val de Marnes,"2, place Victor Hugo, 94270 Le Kremelin-Bicêtre",Metro 7 : Le Kremlin-Bicêtre,TÉL : 01 49 60 69 42 www.festivaldemarne.org festivaldemarne@festivaldemarne.org,1986,23mins
LES POLES D'ART SAVOIR DU PRESENT,Le Kremlin-Bicêtre,Education,"artistic residency-Give artists a place of work <br/>inside companies, with the support <br/>of local authorities. Pôles d’Art are <br/>intended as new, temporary and transient <br/>cultural facilities for contemporary art",3 rue du Général Leclerc – 94270 Le Kremelin-Bicêtre,Métro 7 : Le Kremlin-Bicêtre,01 46 71 69 61 – savoiraupresent@wanadoo.fr,1981,26mins
ARTURAS,Le Vésinet,Design,Design graphique / Design textile / Lumière,"6 rue Sully<br/>78110 Le Vésinet",,0139766581. Arturas@arturass.com. http://www.arturass.com,2007,41mins
THEATRE DU VESINET,Le Vésinet,"Spectacle Vivant, Musique, Cinema",,"59 Boulevard Carnot, 78110",RER A :  Le Vésinet Centre (à 20 minutes de Charles de Gaulle – Etoile) → Prendre la sortie rue du Général Clavery,(0)1.30.15.66.01 – info.cinema@vesinet.org ou info.theatre@vesinet.org +33 (0)1.30.15.66.00,n/a,46mins
FABRIQUE PHANTOM,Les Lilas,Cinema,"Structure d’accompagnement et de diffusion d'oeuvre filmique (film d'artistes, cinéma expérimental, etc.). Partenaire de l'Espace Khiasma.","9 rue Jules David<br/>93260 Les Lilas",Métro 11: Porte des lilas,www.phantom-productions.org,2012,27mins
LE TRITON,Les Lilas,"Musique, Arts Visuels","d'offrir aux musiciens un lieu dont la qualité de l'accueil et la performance technique permettent de conjuguer création, diffusion, enregistrement public et production phonographique.","11 bis, rue du Coq Français <br/>93260 Les Lilas","Méro 11 : Mairie des Lilas; ou Bus 96, 61, 170, 115, 249 jusqu'à la Porte des Lilas, <br/>puis prendre les 105 ou 129 jusqu'à la Mairie des Lilas","01 49 72 83 13<br/>contact@letriton.com",1999,22mins
ESPACE KHIASMA,Les Lillas,"Arts Visuels, Spectacle Vivant, Workshops","Centre d'art contemporain à la programme très pointue et engagée. Rencontre et débats citoyens. Performance, workshops, etc. Coordonne divers évenèments d'envergure métropolitaine.",15 rue Chassagnolle 93260 Les Lilas,Métro 5 : Porte ou Mairie des Lilas; Tram T3 : station Adrienne Bolland,"01 43 60 69 72<br/>info@khiasma.net www.khiasma.net/",,28mins
ESPACE CULTUREL BORIS-VIAN,Les Ulis,Spectacle vivante,"A cultural center associated to the city of Ulis,","Rue des Millepertuis<br/>91940 Les Ulis",RER  B : Orsay-ville;  Bus 3 : Ulis - Passerelle d'automne.,01 69 29 34 91,more than 20years old,45mins
L'ESCALE,Levallois,Arts Visuels,Centre culturel,"25 rue de la Gare, 92300, Levallois",Métro 3 :  Anatole France,"http://www.ville-levallois.fr/culture/127-2/  accueilescale@ville-levallois.fr<br/>• Info :        01 47 15 74 56",N/A,51mins
Ô RESTAURANT,Levallois Perret,Fooding,"The menu, which features delicious dishes prepared using fine, top-quality ingredients","47, quai Michelet - Levallois-Perret",Métro 3 : Pont de Levallois Bécon,www.orestaurant.fr 01 41 34 32 86,n/a,42mins
LE BAROCCO,Levallois-Perret,Fooding,Cuisine méditérannéenne,"Hôtel Evergreen Laurel<br/>8, place Georges Pompidou - Levallois-Perret",Métro 3 : Pont de Levallois - Bécon,www.baroccorestaurant.fr reservation@baroccorestaurant.fr,n/a,29mins
LE PETIT POUCET,Levallois-Perret,Fooding,French contemporary elaborated by chef Eric Chatellard with fresh produce daily from the market.,"Ile de La Jatte -4, rond-point Claude Monet - Levallois-Perret",Métro 3 : Pont de Levallois-Becon,"01 47 38 61 85<br/>Mail : info@le-petitpoucet.net  http://www.le-petit-poucet.com/",1901 +restaurant since 1990),45mins
EVERSIM,Lognes,Innovation,Studio de jeux vidéo,"13, place des Libertés Publiques<br/>77185 Lognes",RER A :  Lognes,"info@eversim.com<br/>http://www.eversim.com",2004,43mins
BAHO,Longjumeau,"Spectacle vivant, Musique","Concerts, évènements","7 : Rue de Verdun, 91160 Longjumeau","RER B : Massy-Palaiseau + Bus 199 depuis Massy-Palaiseau / RER direction La Rocade-Lycee<br/>jusqu’à Hopital de Longjumeau",http://bahos.fr/,2006,1h14mins
ARTÉVIE,Lorrez-le-Bocage,Arts Visuels,"A contemporary art gallery helping its vistitors to look,create and interact with contemporary art in a new facet.","14, rue des fontaines<br/>77710 Lorrez-le-Bocage","A6 sortie Nº16 (Nemours)<br/>A5 sortie Nº18 (Varennes sur Seine)<br/>A19 sortie Nº1 (Sens)","01.64.31.47.35, domifa7@hotmail.fr http://www.espace-artevie.fr/",2004,34mins
AVEC VOUS DESIGN,Louveciennes,Design,"Architecture commerciale, Développement produits, Scénographie","12 rue georges blandon, 78430<br/>Louveciennes",Train SCNF L (Gare Saint Lazare) : ,139187648  claire@avecvousdesign.com http://www.avecvousdesign.com,2009,N/A
FILE 7- SMAC DU VAL D'EUROPE,Magny-Le-Hongre,Musique,Un espace dédié aux musiques actuelles,4 rue des Labours 77700 MAGNY LE HONGRE,RER A : Marne la Vallée Chessy puis Bus 34 (3 arrêts) :Moulin à Vent,01 60 43 66 12 http://www.file7.com/,1996,N/A
DEUXIEME GROUPE D'INTERVENTION,Malakoff,Spectacle Vivant,"Creating artistical situations for, with and within the public space, while researching and elaborating a multi-disciplinary language.","27 rue Voltaire, 92240 Malakoff",Métro 4 : Mairie de Montrouge,luzpittaluga@deuxiemegroupe.org         http://www.deuxiemegroupe.org 06 30 95 77 31,1995,32mins
FABRICA'SON- THEATRE 71,Malakoff,"Musique, Spectacle Vivant","la promotion du jazz et des musiques improvisées,","28 rue Victor Hugo, 92240 MALAKOFF,",Métro 13 : Malakoff-Plateau de Vanves,"01.55.48.06.36, email :  communication@fabrica-son.com http://www.fabrica-son.org/",2002,35 min
LES ÉDITIONS VOLUMIQUES,Malakoff,Innovation,"is a studio inventing, designing and developing new Games and Toys, focusing on the relationship between the tangible and digital.","46, avenue Pierre Brossolette<br/>92240 Malakoff / France",Métro 4 : Mairie de Montrouge,news@volumique.com http://volumique.com/,2009,33mins
MAISON DES ARTS DE MALAKOFF,Malakoff,Arts Visuels,artistic center which also offeres residences to artists,"105 Avenue du 12 Février 1934, 92240 Malakoff","Métro 13 : Malakoff - Plateau de Vanves / Métro 4 : Porte d’Orléans + bus 194 ou 295 / Vélib’ : Station n°22404, avenue Pierre Brossolette / Autolib’ : Station Malakoff/Gabriel Péri/120 ou Montrouge/Jean Jaurès/ 51",01 47 35 96 94 http://maisondesarts.malakoff.fr/ maisondesarts(at)ville-malakoff.Fr,1993,36mins
CAMAC,Marnay-sur-Seine,Education,artistic residency with partnership with UNESCO combining art-science and technology providing a retreat for artists while also reviving the small town of marnay sur seine,"1 Grande Rue, 10400 Marnay-sur-Seine",Train SNCF (Gare de l'Est),www.camac.org/ 03 25 39 20 61,,N/A
PAUL B,Massy,Education,centre culturelle,"6, allée du Québec <br/>91300 Massy","RER A : Massy Verrières puis 15 minutes à pied, <br/>ou arrêt « Les Baconnets », puis prendre le bus 119, arrêt Hélène Boucher (dernier RER vers Paris : minuit); Noctilien en direction de Paris-centre.","él. 01 69 75 12 80 Fax 01 69 20 82 08<br/>contact@paul-b.fr www.paul-b.fr",1988,51mins
NOMADIC SOLUTIONS,Melun,Innovation,"designs and distributes a range of connected mobile solutions, to enable professionals to optimize their profitability, improve and rethink the use of mobility of people, vehicles and goods, ensuring reliability, responsiveness and technical agility.",1015 rue du Maréchal Juin - 77000  MELUN,Train depuis Melun jusqu’à Curie Pascal,01 60 59 04 55  info@nomadicsolutions.biz http://www.nomadicsolutions.biz/,2003,1h33
ALEXANDRE MORONNOZ,Montreuil,Design,space/object design,"67 rue de Paris<br/>93100 Montreuil",Metro 1 : Berault,"06 63 41 58 34<br/>contact@moronnoz.com<br/>www.moronnoz.com",2009,34 mins
ANUMAN INTERACTIVE,Montreuil,Innovation,A thriving French multimedia publishing company on the latest technological platforms!,66 rue Marceau - 93100 Montreuil,Metro 9 : Robespierre / Métro 1 : Saint Mande,"http://www.anuman.fr/ Email standard : info anuman.fr",2000,29mins
ATELIER JES,Montreuil,Design,"design studio [jes] collaborates constantly with artists, designers, graphic designers and architects.","69, rue Victor Hugo<br/>93100 Montreuil",Metro 9 : Mairie de Montreuil,http://www.atelier-jes.com  01 43 60 78 81 atelierjes@gmail.com,1998,45mins
BIG WHEELS STUDIO,Montreuil,Innovation,Audio – Localisation,27 ter rue du Progrès - 93100 Montreuil,Metro 1 : Saint Mande,"http://www.big-wheels.fr/site/ <br/>contact@big-wheels.fr",1990,28mins
CAFE LA PECHE,Montreuil,"Musique, Spectacle Vivant, Education","Café La Pêche  est un lieu artistique, culturel et de citoyenneté, destiné aux jeunes montreuillois et ouvert à un large public.","16, rue Pépin 93100 Montreuil","Metro 9 : Mairie de Montreuil<br/>/ Bus 121 ou 102 : Cimetière",Tél : 01 56 63 07 20 lapeche@montreuil.fr http://www.lapechecafe.com/,1994,49mins
116 CENTRE D'ART CONTEMPORAIN DE MONTREUIL,Montreuil,Arts Visuels,Centre d'Art contemporain créé en 2013.,"116, rue de Paris, 93100 Montreuil",Metro 9 : Robespierre,http://www.le116-montreuil.fr/,2013,31mins
E NEKO,Montreuil,Innovation,Video games exclusively for consoles and PC.,"38, rue de la République 93100 Montreuil",Metro 9 : Robespierre / Metro 1 - Saint Mande,"http://www.e-neko.com/?lang=en  +33 (0)1 4287 1890<br/>contact@e-neko.com",1999,29mins
F93,Montreuil,Innovation,"is a cultural centre. It seeks to build bridges between the general public, the sciences and technical and industrial innovation, restoring the relationship between the world of research and society at large","70 rue Douy Delcupe, 93100 Montreuil",Métro 1 : Berault,01 49 88 66 33 ww.f93.fr,2008,35mins
FLOC PRODUCTION MULTIMEDIA,Montreuil,Innovation,Développement et édition de jeux vidéo éducatifs (reconnus d’intérêt pédagogique par le ministère de l’Education),26 rue de la Fédération - 93100 Montreuil,Metro 9 : Croix de chavaux,"http://www.floc-multimedia.com/ <br/>contact@floc-multimedia.com",2005,33mins
FOCUS HOME INTERACTIVE,Montreuil,"Innovation, Jeux Video",Editeur indépendant,100 av du Gal Leclerc - 93692 Pantin cedex,Metro 9 : Robespierre,http://www.focus-home.com/,1996,32mins
HETIC,Montreuil,Education,"L'univers d'internet évolue sans cesse depuis plus de 10 ans, HETIC anticipe et propose un enseignement polyvalent de qualité en 5 ans qui s’adapte à l’évolution du marché des métiers de l'internet.","27 bis, rue du Progrès<br/>93100 Montreuil",Metro 1 : Saint Mande,01.41.72.77.71 http://www.hetic.net/ contact@hetic.net,2002,28mins
ICH&KAR,Montreuil,Design,"A graphic design atelier which makes and sells their own unique pieces from; plates, book, stickets, notebooks",51 rue du sergent Godefroy – 93100 Montreuil,RER A : Vincennes,studio@ichetkar.fr www.ichetkar.fr,,30mins
ICI MONTREUIL,Montreuil,"Design, Arts Visuels, Métier d'Art, Innovation","A collaborative incubator which works towards helping artists,artisans and designers to develop their work.There is also a collaborative workspace which can be rented out and also a restaurant.","135, bd Chanzy, 93100 Montreuil",Métro 9 : Robespierre,nicolas@madeinmontreuil.com 33 (6) 81 21 94 32,2012,33mins
INNELEC,Montreuil,Innovation,Distributeur de jeux video,"45, rue Delizy - 93692 Pantin",RER E : ,http://www.innelec.com,1983,29mins
INSTANTS CHAVIRES,Montreuil,"Musique, Arts Visuels","un lieu de diffusion pensé comme un laboratoire des musiques improvisées, expérimentales, bruitistes.","7 Rue Richard Lenoir, 93100 Montreuil",Métro 9 : Robespierre,http://www.instantschavires.com/ 01 42 87 25 91,1991,29mins
KNOWTEX,Montreuil,Innovation,"Knowtex is a community which explores the research advances, industrial design and technological innovations.",,,,2009,
L'ATELIER COLECTIF,Montreuil,Design,Collectif design,69 rue Parmentier 93100 Montreuil,Métro 9 : Croix-de-Chavaux (Jacques Duclos),T. 09 53 48 90 33 — F. 09 58 48 90 33 contact@lateliercollectif.org,n/a,31 mins
LUMIERE DES ROSES,Montreuil,"Arts Visuels, Photographie",An photography gallery which works around showcasing found photographs of unknown photographers,"12-14 rue Jean-Jacques Rousseau<br/>93100 Montreuil",RER A :  Vincennes or Line 9- Robespierre,"tel : +33 (0) 1 48 70 02 02<br/>Email : contact@lumieredesroses.com http://www.lumieredesroses.com",2004,24mins
MAISON POPULAIRE,Montreuil,"Arts Visuels, Spectacle Vivant, Musique, Education",une association d’éducation populaire,"9 bis rue Dombasle<br/>Montreuil<br/>93100",Métro 9 : Mairie de Montreuil,01.42.87.08.68 www.maisonpop.fr,1995,35mins
MICROIDS,Montreuil,Innovation,"Producteur et éditeur de jeux vidéo, spécialisé dans les jeux d'aventure",66 rue Marceau - 93100 Montreuil,Métro 9 : Robespierre ou Métro 1 :  Saint Mande,"http://www.microids.com/ <br/>contact@microids.com",1992,25mins
NOUVEAU THEATRE MONTREUIL,Montreuil,Spectacle Vivant,"Is a national public theater (Centre Dramatique National), whose mission is to produce and make circulate performances with contemporary aesthetics.","10, place Jean-Jaurès<br/>93100 Montreuil et 63, rue Victor Hugo<br/>93100 Montreuil",Métro 9 : Mairie de Montreuil,www.nouveau-theatre-montreuil.com 01 48 70 48 90 contact@nouveau-theatre-montreuil.com,2011,28mins
OOBLADA,Montreuil,"Innovation, Jeux Video","Editeur de jeux sociaux. Notre premier succès, Treasure Madness a lancé dès 2009 le genre 'Chasse aux trésors' sur Facebook.","4, rue Cuvier<br/>93100 Montreuil sous Bois<br/>France",Métro 1 : Berault or Métro 9 : Robespierre,"Tel: +33 (0)1 42 87 72 94<br/>contact@ooblada.com http://ooblada.com/",2000,25mins
REMI FONTAINE,Montreuil,Design,Design lumière et produit,"37 bis rue lebour<br/>93100 Montreuil",Métro 1 : Sainte Mande,06 14 01 32 44  http://www.remifontaine.fr,2007,30mins
SALAMATANE,Montreuil,Arts Visuels,Espace culturel et social autogéré,119 bis rue de Paris 93100 Montreuil,Métro 9 : Robespierre,http://salamatane.blogspot.fr/,N/A,27mins
SHOOT THE BOSS,Montreuil,Innovation,"Animation, effets spéciaux","45 ter, rue de la Révolution- 93100 Montreuil",Métro 9 : Robespierre,http://www.shoottheboss.com,2005,32mins
TETRAEDGE,Montreuil,"Innovation, Jeux Video",Spécialisé dans les jeux sur mobiles.,66 rue Marceau - 93100 Montreuil,Métro 9 : Robespierre or Métro 1 : Saint Mande,info@tetraedge.com,2002,25mins
UBISOFT,Montreuil,"Innovation, Jeux Video",Créateur de très nombreux jeux vidéo,"28 Rue Armand Carrel, 93100 Montreuil",Métro 1 : Saint Mande,01 48 18 50 00 https://www.ubisoftgroup.com/en-US/index.aspx,1986,28mins
UFO (Urban Fabric Organisation),Montreuil,"Innovation, Jeux Video","a start-up from the realm of architecture and urbanism, is taking over the digital culture and the suggestive power of video games to challenge human and environmental issues of a world moving into cities","2, rue M. Berthelot<br/>93100 Montreuil",Métro 9 : Croix de chavaux,http://urbanfab.org/ 06 20 80 92 60 hello@urbanfab.org,2010,34mins
UMAPS COMMUNICATION,Montreuil,Innovation,"We promote a responsible mediation between technological innovators (laboratories, entrepreneurs, industries), stakeholders (decision-makers, media, partners) and clients.","104-112, Avenue de la Résistance<br/>93100 Montreuil",Métro 9 : Mairie de Montreuil,http://en.umaps.fr/,N/A,38mins
SALON DE MONTROUGE,Montrouge,Arts Visuels,Manifestation de référence consacrée à la promotion des artistes émergents,"Le Beffroi, 2 Place Emile Cresp,<br/>92120 Montrouge",Métro 4 : Station Mairie de Montoruge; Métro 13 : Station Châtillon-Montrouge,"Commissariat artistique du Salon de Montrouge :<br/>Stéphane Corréard",1955,23mins
MOTS BUEE,multiple locations,"Spectacle Vivant, Education",festival dedicated to the poetry of words,"10 different locations in; Champs sur marne,croissy beauborg,émerainville,lognes,noisel,torcy",multiple locations,motsbuee@valmaubuee.fr www.valmaubuee.fr/festival/‎,2010,DEPENDS ON LOCATION.
PARCOURS-EST,Multiple locations,Arts Visuels,Shuttle service to access vernissages in the banlieu,N/A,N/A,http://www.parcours-est.com/ resa@parcours-est.com,2010,N/A
CYANIDE STUDIO,Nanterre,"Innovation, Jeux Video",Studio de jeux vidéo,"3, boulevard des Bouvets<br/>92000 Nanterre",RER A : Nanterre Prefrecture,"contactcyanide-studio.com<br/>http://www.cyanide-studio.com",2000,31mins
LA FERME DU BONHEUR,Nanterre,"Spectacle Vivant, Musique, Cinéma","est une cellule de recherche et de réflexion sur l’Homme et la Terre qui utilise la culture sous toutes ses formes (théâtre, musique, danse, arts plastiques, cinéma…)",220 Avenue De La République 92000 Nanterre,RER A : Nanterre Université (sortie 1).,http://lafermedubonheur.over-blog.net/ contact@lafermedubonheur.fr,1993,34mins
LA GALERIE MUNICIPALE VILLA DES TOURELLES,Nanterre,Arts Visuels,GALLERIE -Centre d’art contemporain,9 Rue des Anciennes Mairies 92000 Nanterre,RER A : Nanterre Ville,"01 41 37 52 06<br/>arts.plastiques@mairie-nanterre.fr http://www.nanterre.fr/311-la-galerie-municipale-villa-des-tourelles.htm",,34mins
