"bandeau","vignette","NAME","CITY","KEYWORDS","DESCRIPTION","LOCATION","TRANSPORT","CONTACT","SINCE","TIME FROM CHATELET"
"colombes-genious-2.jpg","colombes-genious-2.jpg","GENIOUS","Colombes","Innovation","Research,developments in new technologies\nInfrastructure and Production Expertise\nAutomation and Computer Technology","6 à 20, avenue de l'Agent Sarre - 92700 Colombes","SNCF J : Colombes","http://www.genious.com/ 01 79 62 60 60 contact@genious.com","1983","35mins"
"colombes-le-carre-des-createurs.jpg","colombes-le-carre-des-createurs.jpg","LE CARRE DES CREATEUR","Colombes","Education, Arts Visuels","Une association artistique et aussi Un espace d'expression Des expositions, ateliers, stages pour adultes et enfants","52, rue Denis Papin 92700 Colombes","SNCF Ligne 45 depuis Pont Cardinet (direction Nanterre-Universite) : Les Vallees","http://carredescreateur.canalblog.com/","n/a","42mins"
"conflans-sainte-honorine-theatre-simone-signoret.jpg","conflans-sainte-honorine-theatre-simone-signoret.jpg","THEATRE SIMONE SIGNORET","Conflans Sainte Honorine","Spectacle Vivant, Musique","entre octobre et mai, des spectacles, des rencontres, des ateliers qui forment un parcours invitant au voyage et à la découverte dans un espace convivial.","12 place Auguste Romagné\n78700 CONFLANS-SAINTE-HONORINE","Conflans-Fin d'Oise","http://www.theatresimonesignoret.fr/ theatre.signoret@wanadoo.fr  01 34 90 90 90","n/a","41mins"
"conflans-sainte-honorine-jazzauconfluent.jpg","conflans-sainte-honorine-jazzauconfluent.jpg","JAZZ AU CONFLUENT","Conflans Ste Honorine","Musique","lieu du musique","15 rue de loge Mathieu\n78700 CONFLANS STE HONORINE","Train SNCF J (gare Saint-Lazare\ndirection Mantes-la-Jolie) : Conflans-Sainte-Honorine","Comité de programmation: \nfell.alan@wanadoo.fr","2002","1h08mins"
"courbevoie-espace-carpeaux-1.jpg","courbevoie-espace-carpeaux-1.jpg","ESPACE CARPEAUX","Courbevoie","Cinema, Spectacle Vivant, Musique","espace multi-disciplinaire","15 boulevard Aristide Briand 92400 Courbevoie","Bus : 275, 278, 163 et 164, arrêt Paix/Verdun\nGares SNCF : Courbevoie ou Bécon-Les-Bruyères\nMétro 1, RER  A : Grande Arche de La Défense, puis bus.","01 46 67 70 00 http://www.sortiracourbevoie.com/Plan-acces/Espace-Carpeaux/1","n/a","42 min"
"courbevoie-iim-institut-de-linternet-et-du-multimedia.jpg","courbevoie-iim-institut-de-linternet-et-du-multimedia.jpg","IIM - INSTITUT DE L'INTERNET ET DU MULTIMEDIA","Courbevoie","Education, Innovation","Ecole pour les jeux vidéo","12 Avenue Léonard de Vinci, 92400 Courbevoie","Line 1- La Defense","iim@devinci.fr\nhttp://www.iim.fr","1995","32mins"
"courbevoie-maison-des-jonglages-2.jpg","courbevoie-maison-des-jonglages-2.jpg","MAISON DES JONGLAGES","Courbevoie","Festival","A collection of artists and shows from all around the world","Centre culturel Jean Houdremont\n11 Av Du Gal Leclerc - 93120 La Courneuve","RER B : Courneuve- Aubervilliers","http://www.maisondesjonglages.fr/ 01.49.92.60.54\ninfos.maison.jonglages@gmail.com","2008","30mins"
"courtry-lecoutille-.jpg","courtry-lecoutille-.jpg","L’ECOUTILLE","Courtry","Musique, Cinema","lieu dediée au jazz","97, rue Charles Van Wyngène\n77181 Courtry","SNCF P depuis Gare de l'Est\ndirection Meaux\njusqu’à Chelles Gournay","01 60 08 38 48 / 06 10 83 87 51\nMail : lecoutille@lecoutille.com","2006","1 h 34 min"
"creteil-maison-des-arts-de-creteil.jpg","creteil-maison-des-arts-de-creteil.jpg","MAISON DES ARTS DE CRETEIL","Creteil","Spectacle Vivant, Musique, Arts Visuels","theatre, dance, music and digital art. Festival NEMO, EXIT, de Film de Femmes, etc.","Place Salvador Allende\nCréteil\n94000","Métro 8 : Créteil - Préfecture Parking gratuit Hôtel de Ville en contrebas du théâtre","http://www.maccreteil.com/ 01 45 13 19 19 Communication 01 45 13 19 05","N/A","47mins"
"enghien-the-centre-des-arts-denghien.jpg","enghien-the-centre-des-arts-denghien.jpg","CENTRE DES ARTS D'ENGHIEN","Enghien","Spectacle Vivant, Musique, Arts Visuels, Education","Véritable hub créatif transdisciplinaire autour des cultures digitales. Festival des Bains Numériques","12-16 rue de la Libération 95880","Bus : 154, 256 De Paris Gare du Nord, Ligne H direction Pontoise ou Valmondois (15 min)\nDe Pontoise, Ligne H direction Paris Gare du Nord (20 min)","01.30.10.85.59 www.cda95.fr","","39mins"
"epinay-senart-fete-de-lhiver.jpg","epinay-senart-fete-de-lhiver.jpg","LES FÊTES DE L'HIVER","Epinay Senart","Festival","A festival dedicated to clowns and mimes with two plays "The Wonderful Escape" and Imagine Yourself.","Salle Georges Pompidou Rue De Rocheau, 91860 Epinay Sous Senart","RER D : Brunoy","http://www.ville-epinay-senart.fr 01.60.47.85.80","N/A","1h04mins"
"fontenay-sous-bois-musiques-au-comptoir.jpg","fontenay-sous-bois-musiques-au-comptoir.jpg","MUSIQUES AU COMPTOIR","Fontenay-sous-Bois","Spectacle Vivant, Musique","lieu des concerts","95 rue Roublot\n94120 Fontenay-sous-Bois","Métro 1 : Chateau de Vincennes\npuis BUS 118 depuis Avenue du Chateau, direction Van Derheyden\njusqu’à Les Rigollots / RER A : Fontenay-sous-Bois, sortie Bd de Vincennes, Prendre la rue Emile Roux, puis la rue Dalayrac à gauche et la rue Roublot à droite","01 48 75 64 31 - 06 71 26 00 95 \n\ncontact@musiquesaucomptoir.fr  http://www.musiquesaucomptoir.fr/infos.php","2001","38 min"
"gennevilliers-ecole-municipale-des-beaux-arts-galerie-edouard-manet-1.jpg","gennevilliers-ecole-municipale-des-beaux-arts-galerie-edouard-manet-1.jpg","ECOLE MUNICIPALE DES BEAUX ARTS / GALERIE EDOUARD MANET","Gennevilliers","Arts Visuels, Education","Galerie d'Art Contemporain combinée à une école d'art contemporain. Commissariat d'exposition exigeant.","3 Place Jean Grandel 92230 Gennevilliers","Métro 13 : Gabriel Péri","01.40.85.67.40 www.ville-gennevilliers.fr embamanet@ville-gennevilliers.fr","1994","41mins"
"gennevilliers-le-tramanoir.jpg","gennevilliers-le-tramanoir.jpg","LE TAMANOIR","Gennevilliers","Musique","scène conventionnée, lieu de musiques actuelles à Gennevilliers","27 avenue Lucette Mazalaigue - 92 230 Gennevilliers","Métro 13 : Les Courtilles (15 minutes de Saint-Lazare), puis à pied 5 minutes.\nRER C : Gennevilliers, puis bus 166 ou 378, arrêt "Luth".","http://www.letamanoir.com/","","37mins"
"gennevilliers-theatre-de-gennevilliers.jpg","gennevilliers-theatre-de-gennevilliers.jpg","THEATRE DE GENNEVILLIERS","Gennevilliers","Spectacle Vivant",""Art as Experience" : Théâtre d'avant-garde dirigé par Pascal Rambert, exposition d'art contemporains, rencontres, workhops, café très sympathique.","41 avenue des Grésillons  92230 Gennevilliers","Direction Asnières-Gennevilliers, station Gabriel Péri. Exit n°1 > then, follow Daniel Buren's arrows","www.theatre2gennevilliers.com +33 (0)1 41 32 26 10","2007","31mins"
"gentilly-le-generateur-1.jpg","gentilly-le-generateur-1.jpg","LE GENERATEUR","Gentilly","Spectacle Vivant","galerie, espace de spectacle","16, rue Charles Frérot\n94250 Gentilly","Tram 3 : Poterne des Peupliers\nM° Place d’Italie + Bus 57 arrêt Verdun – Victor Hugo\nRER B : Gentilly (ou RER B : Cité U + Tram 3 : Poterne des Peupliers)\nVélib’ (n° 13111, n° 42505)","01 49 86 99 14\ncontact@legenerateur.com www.legenerateur.com","2006","29mins"
"gentilly-maison-de-la-photographie-robert-doisneau.jpg","gentilly-maison-de-la-photographie-robert-doisneau.jpg","MAISON DE LA PHOTOGRAPHIE ROBERT DOISNEAU","Gentilly","Arts Visuels","Centre Culturel et Photographique","1, rue de la division du Général Leclerc 94250 Gentilly","RER B : Gentilly /\nBus n° 57, n° 125, n° 184,\nBus gratuits de la Communauté d'agglomération de Val de Bièvre.","http://www.maisondelaphotographie-robertdoisneau.fr/ tél : 01 55 01 04 86 - fax : 01 47 40 82 06 - maisondelaphotographie@agglo-valdebievre.fr","n/a","22mins"
"issy-les-moulineaux-biennale-dissy.jpg","issy-les-moulineaux-biennale-dissy.jpg","BIENNALE D'ISSY","Issy les Moulineaux","Arts Visuels","Biennale","33 rue du Gouverneur Général Eboué \n92130 Issy-les-Moulineaux ET16 rue Auguste Gervais 92130 Issy-les-Moulineaux","Métro 12 : Mairie d’Issy\nBus : 123, 126, 169, 189, 190, 289, 290, 323, Tuvim\nTram T2 : Val-de-Seine;| RER C : Val-de-Seine","http://www.biennaledissy.com/ ET http://issy.com/biennale2013","2003","28mins"
"issy-les-moulineaux-espace-icare.jpg","issy-les-moulineaux-espace-icare.jpg","ESPACE ICARE","Issy les Moulineaux","Education","Lieu culturel","31, Boulevard Gambetta 92130 Issy les Moulineaux","Métro 12 : Corentin Celton (à 10min de montparnasse); bus 126, 189, 394","infos@espace-icare.com/ Tél : 01 40 93 44 50 - Fax : 01 40 93 46 07 www.espace-icare.net","n/a","26mins"
"issy-les-moulineaux-lentrepont-1.jpg","issy-les-moulineaux-lentrepont-1.jpg","L'ENTREPONT","Issy Les Moulineaux","Musique, Spectacle Vivant","l’Entrepont permet de développer tout type de projet artistique relatif à la musique, au théâtre, à la danse, à la littérature, au multimédia.","24, chemin de l’Accès à la Gare","RER C : Issy ou Métro 12 : Mairie de Issy","01 41 46 17 20\nE-mail : entrepont@ville-issy.fr\nwww.facebook.com/entrepont","N/A","30mins"
"issy-les-moulineaux-lile.jpg","issy-les-moulineaux-lile.jpg","L'ILE","Issy les Moulineaux","Fooding","French cuisine with 100% preparations made on site with a traditional and modern mix.","170, quai de Stalingrad - Parc de l'Île Saint-Germain - Issy-les-Moulineaux","RER C : Issy Val de Seine\nTram T2 : Issy Val de Seine\nBus 126 et 189 : Parc de l’Ile St Germain","http://www.restaurant-lile.com/ 01 41 09 99 99","1998","45mins"
"issy-les-moulineaux-le-cube.jpg","issy-les-moulineaux-le-cube.jpg","LE CUBE","Issy les Moulineaux","Arts Visuels","A centre for creation entirely dedicated to digital technology,","20, Cours Saint Vincent 92130 Issy-les-Moulineaux","Tram T2 : Les Moulineaux (sortie 2)\nRER C : Issy (sortie "Allée des Carrières), puis à gauche dans l'avenue de Verdun jusqu'au Cours Saint-Vincent\nVélib’ : Stations n° 21301 et n° 21302","01 58 88 3000 http://www.lecube.com/","2001","39mins"
"issy-les-moulineaux-les-arches.jpg","issy-les-moulineaux-les-arches.jpg","LES ARCHES","Issy les Moulineaux","Arts Visuels, Education","Les Arches est une association de 30 artistes professionnels","Boulevard Garibaldi\n92130 Issy-les-Moulineaux","RER C : Issy\nTram T2 : JH Lartigue\nMétro 12 : Mairie d'Issy\nBus 123 : Gare d'Issy\nVélib : Gare d'Issy","33 (0)1 41 08 75 08 http://www.lesarches.com/","","35mins"
"issy-les-moulineaux-river-cafe.jpg","issy-les-moulineaux-river-cafe.jpg","RIVER CAFE","Issy les Moulineaux","Fooding","French cuisine with 100% preparations made on site with a traditional and modern mix.","146, quai de la bataille de Stalingrad - Issy-les-Moulineaux","RER C : Issy-Val de Seine; Tram T2","www.rivercafe.fr contact@rivercafe.fr 01 41 46 19 45","1990","41mins"
"issy-les-moulineaux-sculpteo.jpg","issy-les-moulineaux-sculpteo.jpg","SCULPTEO","Issy Les Moulineaux","Innovation","We do 3D printing for both individuals and professionals. We develop easy-to-integrate solutions for online retailers wanting to integrate 3D printing and mass customization to their offer.","89 rue Gouverneur Eboué\n92130 Issy-les-Moulineaux - France","Métro 12 : Mairie d'Issy","http://www.sculpteo.com/ +33 1 83 64 11 22","2009","41mins"
"ivry-sur-seine-a2zart-2.jpg","ivry-sur-seine-a2zart-2.jpg","GALERIE A2Z","Ivry-sur-Seine","Arts Visuels","galerie d'art contemporain spécialisée dans la création contemporaine chinoise. Participe à la foire Art Paris","28 bis, rue barbès\n94200 Ivry-sur-Seine, FRANCE","Métro 7 : Porte d’Ivry ou Pierre Marie Curie / Bus 125 : Jules Ferry / Parking","http://www.a2z-art.com 09 54 03 08 02 Info@a2z-art.com","","28mins"
"ivry-sur-seine-collectif-la-blanchisserie-2.jpg","ivry-sur-seine-collectif-la-blanchisserie-2.jpg","COLLECTIF LA BLANCHISSERIE","Ivry-sur-Seine","Spectacle Vivant, Arts Visuels","Collectif et espaces dédiés à la création pluridisciplinaire","4/16 impasse Prudhon 94200 Ivry-sur-Seine","Métro 8 : Liberté + Bus 180 : Maurice Gunsbourg /\nMétro 7 : Mairie d’Ivry / RER C : Ivry-sur-Seine + bus 125 ou 323 : Place Gambetta","01 46 70 97 88 ou 09 71 53 21 10 http://www.collectiflablanchisserie.org/ lablanchisserie@gmail.com","1990","35mins"
"ivry-sur-seine-le-centre-dart-contemporain-divry-le-credac.jpg","ivry-sur-seine-le-centre-dart-contemporain-divry-le-credac.jpg","CREDAC","Ivry-sur-Seine","Arts Visuels","Centre d’art contemporain d'Ivry, jouxtant la Manufacture des Oeuillets.  Commissariat d'exposition exigeant.","29 Rue Raspail, 94200 Ivry-sur-Seine","","33 (0)1 49 60 25 06\ncontact@credac.fr http://www.credac.fr/","","33mins"
"ivry-sur-seine-luxy-cinema.jpg","ivry-sur-seine-luxy-cinema.jpg","LUXY CINEMA","Ivry-sur-Seine","Cinema","cinema","77 Avenue Georges Gosnat","Métro 7 : Mairie d'Ivry\nRER C : Ivry\n(trains Romi ou Mona)","http://luxy.ivry94.fr/contacts/ 01 72 04 64 60 leluxy@ivry94.fr","","25mins"
"","","CENTRE ARTISTIQUE EL DUENDE","Ivry-sur-Seine","Spectacle Vivant, Arts Visuels","Théatre expérimental, rencontres citoyennes, programmation très diverse.","23 Rue Hoche, 94200 Ivry-sur-Seine","Métro 7 - Mairie d'Ivry","01 46 71 52 29 theatre-elduende.com / lesateliersduduende@gmail.com","",""
"","","GALERIE RX","Ivry-sur-Seine","Arts Visuels","Lieu d'exposition et de résidence artistique","","","","",""
"janville-sur-juine-ecole-philippe-gaulier-1.jpg","janville-sur-juine-ecole-philippe-gaulier-1.jpg","ECOLE PHILIPPE GAULIER","Janville-sur-Juine","Education, Spectacle Vivant","Ecole internationale du Clown fondée par Philippe Gaulier (mondialement connu pour avoir cassé des milliers d'assiettes), centrée sur le pouvoir libérateur du "jeu".","7 rue de Bouray\n.Janville-sur-Juine 91510 France","RER C : Landy","33 (0)1 60 82 19 83/33 (0)9  52 11 16 04 Philgaulier@aol.com michikogaulier@gmail.com","1980","1hr23mins"
"joinville-le-pont-mando-productions.jpg","joinville-le-pont-mando-productions.jpg","MANDO PRODUCTIONS","Joinville-le-Pont","Innovation","Studio de jeux vidéo","1, quai Gabriel Péri\nZAC des studios - Bâtiment E\n94340 Joinville le Pont","RER A : Joinville le pont","info@mandoproductions.com\nhttp://www.mandoproductions.com","2010","39mins"
"juvisy-sur-orge-ecole-et-espace-dart-contemporain-camille-lambert.jpg","juvisy-sur-orge-ecole-et-espace-dart-contemporain-camille-lambert.jpg","ECOLE ET ESPACE D'ART CONTEMPORAIN CAMILLE LAMBERT","Juissy-sur-Orge","Education, Arts Visuels","d’enseignement artistique et un lieu d’exposition dédié à l’art contemporain.","35 Avenue de la \nTerrasse, 91260 Juvisy-sur-Orge","","01 69 57 82 50\neart.lambert@portesessonne.fr http://www.portesessonne.fr/Sortir-et-decouvrir/Ecole-et-Espace-d-art-contemporain-Camille-Lambert","","41mins"
"","","STARTUP 42","Le Kremlin Bicetre","Innovation","StartUp42 est un accélérateur de startups tech, gratuit et sans prise de participations.","14 Rue Voltaire, 94276 Kremlin Bicêtre","Metro 7 ou Tram : Porte d'Italie","http://startup42.org/the-accelerator-2/","","25mins"
"le-blanc-mesnil-deux-pieces-cuisine.jpg","le-blanc-mesnil-deux-pieces-cuisine.jpg","DEUX PIECES CUISINE","Le Blanc Mesnil","Spectacle Vivant, Musique","A space which promotes unique musical programming. Also offers rehearsal space for musicians.","42, Avenue Paul Vaillant-Couturier, 93150, Le Blanc-Mesnil","RER B : Blanc Mesnil","http://www.deuxpiecescuisine.net/","1994","36mins"
"le-blanc-mesnil-le-forum-1.jpg","le-blanc-mesnil-le-forum-1.jpg","LE FORUM","Le Blanc Mesnil","Spectacle Vivant, Musique, Arts Visuels","centre d'art","1-5, place de la Libération\n93150 Blanc-Mesnil","RER B : Drancy \npuis bus 148 ou 346 - Arrêt Libération","01 48 14 22 00 http://www.leforumbm.fr/","","52mins"
"la-courneuve-centre-culturel-jean-houdremont-.jpg","la-courneuve-centre-culturel-jean-houdremont-.jpg","CENTRE CULTUREL JEAN HOUDREMONT","La Courneuve","Musique, Spectacle Vivant","Le centre culturel élabore chaque saison une programmation pluridisciplinaire, avec une attention particulière pour le jeune public.","11 avenue du Général-Leclerc, 93120 La Courneuve.","RER B : Courneuve-Aubervilliers line 7 arrêt La Courneuve-8 mai 1945, puis Tramway T1 direction Saint-Denis arrêt 6 Routes","","","32mins"
"la-courneuve-fete.humanite-1.jpg","la-courneuve-fete.humanite-1.jpg","FÊTE DE L’HUMANITÉ","La Courneuve","Festival","A music festival organised by L'humanité the newspaper and has been going on since 1930.","Parc de la Courneuve-55 bis avenue Waldeck Rochet \n93 120 La Courneuve","Metro 7 :Aubervillers Pantin - 4 chemins, puis bus 249 direction Dugny arrêt "Place 16 aout 1943".","fete.humanite.fr 01 49 22 66 59","1930","1h04mins"
"la-defense-art-o-clock-.jpg","la-defense-art-o-clock-.jpg","ART O CLOCK","La Defense","Arts Visuels","Paris International Art Fair","Centre of New Industries and Technologies;2 Place de la Défense, 92053 La Défense","Métro 1 : Esplanade de La Défense ou RER A : Grande Arche ","http://www.art-oclock.com/         contact@art-oclock.com","2012","30mins"
"la-defense-cnap-(centre-national-des-art-plastiques).jpg","la-defense-cnap-(centre-national-des-art-plastiques).jpg","CNAP (CENTRE NATIONAL DES ART PLASTIQUES)","La Defense","Arts Visuels","Il encourage et soutient la création en France dans tous les domaines des arts visuels... établissement du ministère de la Culture et de la Communication, Le CNAP soutient la recherche et l’innovation artistiques","1 place de la Pyramide\n92911 Paris-La Défense\nFrance","RER A-La Defense (Grande Arche)","http://www.cnap.fr 0)1 46 93 99 50","1982","26MINS"
"la-defense-la-defense-jazz-festival.jpg","la-defense-la-defense-jazz-festival.jpg","LA DÉFENSE JAZZ FESTIVAL","La Defense","Musique","a musical festival showcasing world talent and providing free shows","Parvis de la Défense","Métro ligne 1, station La Défense – Grande Arche\nRER ligne A, station La Défense – Grande Arche","01 47 29 30 48\nladefensejazz@cg92.fr http://ladefensejazzfestival.hauts-de-seine.net/","1977","26mins"
"lagny-sur-marne-espace-charles-vanel-1.jpg","lagny-sur-marne-espace-charles-vanel-1.jpg","ESPACE CHARLES VANEL","Lagny-Sur-Marne","Spectacle Vivant, Musique","Centre Culturel","22, Boulevard Du Maréchal Gallieni, Lagny Sur Marne 77400","depuis Chatelet\ndirection Porte de Clignancourt\njusqu’à Gare de l'Est (Verdun) depuis Gare de l'Est\ndirection Meaux\njusqu’à Lagny-Thorigny depuis Lagny Sncf\ndirection Bussy RER\njusqu’à Foch","espace-charles-vanel@lagny-sur-marne.fr 01 64 12 47 50","","51 min"
"le-bourget-larry-gagosian-1.jpg","le-bourget-larry-gagosian-1.jpg","LARRY GAGOSIAN","Le Bourget","Arts Visuels","galerie d'art contemporain d'envergure internationale (New York, Londres, Athène, etc.)","800 avenue de l'europe 93350 le bourget","No 152 from Porte de la Villette No 350 from Gare de l’Est or Gare du Nord RER B—exit at Le Bourget\nTake bus no 152 from Jean Jaurès Division Leclerc","01.48.16.16.47 www.gagosian.com p","2012","27mins + bus ride"
"various-locations-weather-festival.jpg","various-locations-weather-festival.jpg","WEATHER FESTIVAL","Le Bourget, Bobigny, Montreuil, Paris","Spectacle Vivant","techno-house festival","n/A","various locations","info@weatherfestival.fr","N/A",""
"","","ESPACE CULTUREL ANDRÉ MALRAUX","Le Kremlin-Bicêtre","Spectacle Vivant","festival du musique; Festival Val de Marnes","2, place Victor Hugo, 94270 Le Kremelin-Bicêtre","Metro 7 : Le Kremlin-Bicêtre","TÉL : 01 49 60 69 42 www.festivaldemarne.org festivaldemarne@festivaldemarne.org","1986","23mins"
"le-kremlin-bicetre-savoir-du-present.jpg","le-kremlin-bicetre-savoir-du-present.jpg","LES POLES D'ART SAVOIR DU PRESENT","Le Kremlin-Bicêtre","Education","artistic residency-Give artists a place of work \ninside companies, with the support \nof local authorities. Pôles d’Art are \nintended as new, temporary and transient \ncultural facilities for contemporary art","3 rue du Général Leclerc – 94270 Le Kremelin-Bicêtre","Métro 7 : Le Kremlin-Bicêtre","01 46 71 69 61 – savoiraupresent@wanadoo.fr","1981","26mins"
"le-vesnit-arturas.jpg","le-vesnit-arturas.jpg","ARTURAS","Le Vésinet","Design","Design graphique / Design textile / Lumière","6 rue Sully\n78110 Le Vésinet","","0139766581. Arturas@arturass.com. http://www.arturass.com","2007","41mins"
"le-vesnit-theatre-du-vesnit.jpg","le-vesnit-theatre-du-vesnit.jpg","THEATRE DU VESINET","Le Vésinet","Spectacle Vivant, Musique, Cinema","","59 Boulevard Carnot, 78110","RER A :  Le Vésinet Centre (à 20 minutes de Charles de Gaulle – Etoile) → Prendre la sortie rue du Général Clavery","(0)1.30.15.66.01 – info.cinema@vesinet.org ou info.theatre@vesinet.org +33 (0)1.30.15.66.00","n/a","46mins"
"les-lillas-phantom-productions.jpg","les-lillas-phantom-productions.jpg","FABRIQUE PHANTOM","Les Lilas","Cinema","Structure d’accompagnement et de diffusion d'oeuvre filmique (film d'artistes, cinéma expérimental, etc.). Partenaire de l'Espace Khiasma.","9 rue Jules David\n93260 Les Lilas","Métro 11: Porte des lilas","www.phantom-productions.org","2012","27mins"
"les-lillas-le-triton.jpg","les-lillas-le-triton.jpg","LE TRITON","Les Lilas","Musique, Arts Visuels","d'offrir aux musiciens un lieu dont la qualité de l'accueil et la performance technique permettent de conjuguer création, diffusion, enregistrement public et production phonographique.","11 bis, rue du Coq Français \n93260 Les Lilas","Méro 11 : Mairie des Lilas; ou Bus 96, 61, 170, 115, 249 jusqu'à la Porte des Lilas, \npuis prendre les 105 ou 129 jusqu'à la Mairie des Lilas","01 49 72 83 13\ncontact@letriton.com","1999","22mins"
"les-lillas-khiasma.jpg","les-lillas-khiasma.jpg","ESPACE KHIASMA","Les Lillas","Arts Visuels, Spectacle Vivant, Workshops","Centre d'art contemporain à la programme très pointue et engagée. Rencontre et débats citoyens. Performance, workshops, etc. Coordonne divers évenèments d'envergure métropolitaine.","15 rue Chassagnolle 93260 Les Lilas","Métro 5 : Porte ou Mairie des Lilas; Tram T3 : station Adrienne Bolland","01 43 60 69 72\ninfo@khiasma.net www.khiasma.net/","","28mins"
"les-ulis-espace-culturel-boris-vian-1.jpg","les-ulis-espace-culturel-boris-vian-1.jpg","ESPACE CULTUREL BORIS-VIAN","Les Ulis","Spectacle vivante","A cultural center associated to the city of Ulis,","Rue des Millepertuis\n91940 Les Ulis","RER  B : Orsay-ville;  Bus 3 : Ulis - Passerelle d'automne.","01 69 29 34 91","more than 20years old","45mins"
"levallois-perret-lescale-2.jpg","levallois-perret-lescale-2.jpg","L'ESCALE","Levallois","Arts Visuels","Centre culturel","25 rue de la Gare, 92300, Levallois","Métro 3 :  Anatole France","http://www.ville-levallois.fr/culture/127-2/  accueilescale@ville-levallois.fr\n• Info :        01 47 15 74 56","N/A","51mins"
"levallois-perret-o-restaurant-1.jpg","levallois-perret-o-restaurant-1.jpg","Ô RESTAURANT","Levallois Perret","Fooding","The menu, which features delicious dishes prepared using fine, top-quality ingredients","47, quai Michelet - Levallois-Perret","Métro 3 : Pont de Levallois Bécon","www.orestaurant.fr 01 41 34 32 86","n/a","42mins"
"levallois-perret-le-barocco.jpg","levallois-perret-le-barocco.jpg","LE BAROCCO","Levallois-Perret","Fooding","Cuisine méditérannéenne","Hôtel Evergreen Laurel\n8, place Georges Pompidou - Levallois-Perret","Métro 3 : Pont de Levallois - Bécon","www.baroccorestaurant.fr reservation@baroccorestaurant.fr","n/a","29mins"
"levallois-perret-le-petit-poucet.jpg","levallois-perret-le-petit-poucet.jpg","LE PETIT POUCET","Levallois-Perret","Fooding","French contemporary elaborated by chef Eric Chatellard with fresh produce daily from the market.","Ile de La Jatte -4, rond-point Claude Monet - Levallois-Perret","Métro 3 : Pont de Levallois-Becon","01 47 38 61 85\nMail : info@le-petitpoucet.net  http://www.le-petit-poucet.com/","1901 +restaurant since 1990)","45mins"
"lognes-eversim.jpg","lognes-eversim.jpg","EVERSIM","Lognes","Innovation","Studio de jeux vidéo","13, place des Libertés Publiques\n77185 Lognes","RER A :  Lognes","info@eversim.com\nhttp://www.eversim.com","2004","43mins"
"longjumeau-bahos-1.jpg","longjumeau-bahos-1.jpg","BAHO","Longjumeau","Spectacle vivant, Musique","Concerts, évènements","7 : Rue de Verdun, 91160 Longjumeau","RER B : Massy-Palaiseau + Bus 199 depuis Massy-Palaiseau / RER direction La Rocade-Lycee\njusqu’à Hopital de Longjumeau","http://bahos.fr/","2006","1h14mins"
"lorrez-le-bocage-artevie.jpg","lorrez-le-bocage-artevie.jpg","ARTÉVIE","Lorrez-le-Bocage","Arts Visuels","A contemporary art gallery helping its vistitors to look,create and interact with contemporary art in a new facet.","14, rue des fontaines\n77710 Lorrez-le-Bocage","A6 sortie Nº16 (Nemours)\nA5 sortie Nº18 (Varennes sur Seine)\nA19 sortie Nº1 (Sens)","01.64.31.47.35, domifa7@hotmail.fr http://www.espace-artevie.fr/","2004","34mins"
"louveciennes-avec-vous-design.jpg","louveciennes-avec-vous-design.jpg","AVEC VOUS DESIGN","Louveciennes","Design","Architecture commerciale, Développement produits, Scénographie","12 rue georges blandon, 78430\nLouveciennes","Train SCNF L (Gare Saint Lazare) : ","139187648  claire@avecvousdesign.com http://www.avecvousdesign.com","2009","N/A"
"magny-le-hongre-file-7-smac-du-val-deurope.jpg","magny-le-hongre-file-7-smac-du-val-deurope.jpg","FILE 7- SMAC DU VAL D'EUROPE","Magny-Le-Hongre","Musique","Un espace dédié aux musiques actuelles","4 rue des Labours 77700 MAGNY LE HONGRE","RER A : Marne la Vallée Chessy puis Bus 34 (3 arrêts) :Moulin à Vent","01 60 43 66 12 http://www.file7.com/","1996","N/A"
"malakoff-deuxieme-group-dintervention.jpg","malakoff-deuxieme-group-dintervention.jpg","DEUXIEME GROUPE D'INTERVENTION","Malakoff","Spectacle Vivant","Creating artistical situations for, with and within the public space, while researching and elaborating a multi-disciplinary language.","27 rue Voltaire, 92240 Malakoff","Métro 4 : Mairie de Montrouge","luzpittaluga@deuxiemegroupe.org         http://www.deuxiemegroupe.org 06 30 95 77 31","1995","32mins"
"malakoff-fabricason-theatre-71.jpg","malakoff-fabricason-theatre-71.jpg","FABRICA'SON- THEATRE 71","Malakoff","Musique, Spectacle Vivant","la promotion du jazz et des musiques improvisées,","28 rue Victor Hugo, 92240 MALAKOFF,","Métro 13 : Malakoff-Plateau de Vanves","01.55.48.06.36, email :  communication@fabrica-son.com http://www.fabrica-son.org/","2002","35 min"
"malakoff-les-editions-volumiques.jpg","malakoff-les-editions-volumiques.jpg","LES ÉDITIONS VOLUMIQUES","Malakoff","Innovation","is a studio inventing, designing and developing new Games and Toys, focusing on the relationship between the tangible and digital.","46, avenue Pierre Brossolette\n92240 Malakoff / France","Métro 4 : Mairie de Montrouge","news@volumique.com http://volumique.com/","2009","33mins"
